ACCESSION_NUMBER	OWNERSIGNATURENAME	OWNERSIGNATUREDATE
0000950170-24-110363	/s/ Arthur J. Rohde, Authorized Signatory of Thoma Bravo UGP, LLC	30-SEP-2024
0000950170-24-110363	/s/ Arthur J. Rohde, Authorized Signatory of Thoma Bravo UGP, LLC, the ultimate GP of Thoma Bravo Discover Fund A, L.P.	30-SEP-2024
0001415889-24-024089	/s/ Christian Ulrich, Attorney-in-Fact	30-SEP-2024
0000707388-24-000143	/s/ Hannah Bible, as Attorney-in-fact	30-SEP-2024
0001645070-24-000181	/s/ Amanda DeGasperi, Attorney-in-Fact for Mark E. Jennings	30-SEP-2024
0001571123-24-000137	Hilary L. Hageman, Attorney-in-fact	30-SEP-2024
0001645070-24-000180	/s/ Amanda DeGasperi, Attorney-in-Fact for Mohit Kapoor	30-SEP-2024
0001683168-24-006755	/s/ Heather Novitsky as Attorney-in-Fact for Douglas R. Lebda	30-SEP-2024
0000746598-24-000097	Heidi Knueppel, Attorney-In-Fact	30-SEP-2024
0001213900-24-083348	/s/ David Moss	30-SEP-2024
0001578563-24-000421	/s/ Donald R. Reynolds, by Power of Attorney	30-SEP-2024
0001213900-24-083347	/s/ Liat Zalts	30-SEP-2024
0001225208-24-008875	Anthony G. Morrow, Attorney-in-fact for Martin, Melvin John	30-SEP-2024
0002039448-24-000001	Daniel Tauer	25-SEP-2024
0000950170-24-110350	/s/ Mark Hoyla, Attorney-in-Fact for Gary Weitman	30-SEP-2024
0001892539-24-000006	Jeff Chang	30-SEP-2024
0001765814-24-000031	Alexander B. Jones	30-SEP-2024
0000919574-24-005674	/s/ Sally McCarthy	30-SEP-2024
0001437749-24-030242	/s/ John Pash	30-SEP-2024
0001127602-24-024569	/s/ Raoul Maitra, attorney-in-fact for Christ Revocable Trust dated May 8, 2015	30-SEP-2024
0001127602-24-024567	/s/ Raoul Maitra, attorney-in-fact for George J. Christ	30-SEP-2024
0001127602-24-024565	/s/ Allyson L. Bach, By Power of Attorney	30-SEP-2024
0000046619-24-000070	/s/ Alan Schriesheim	30-SEP-2024
0001104659-24-104184	/s/ Patrick J. Reilly, Attorney-in-fact	30-SEP-2024
0001104659-24-104183	/s/ Patrick J. Reilly, Attorney-in-fact	30-SEP-2024
0001104659-24-104182	/s/ Patrick J. Reilly, Attorney-in-fact	30-SEP-2024
0001104659-24-104181	/s/ Patrick J. Reilly, Attorney-in-fact	30-SEP-2024
0001104659-24-104179	/s/ Patrick J. Reilly, Attorney-in-fact	30-SEP-2024
0000950170-24-110300	Brad Nelson as Attorney in Fact for Farhad Fred Ebrahimi	30-SEP-2024
0001415889-24-024087	/s/ Krissy Meyer, Attorney-in-Fact	30-SEP-2024
0001085913-24-000016	Suess, Calvin J.	30-SEP-2024
0001225208-24-008871	/s/ Patrick J. Seul, Attorney-in-Fact	30-SEP-2024
0001225208-24-008870	/s/ Patrick J. Seul, Attorney-in-Fact	30-SEP-2024
0001127602-24-024559	/s/ P. Diana Chiu, attorney-in-fact for Mr. McDonnell	30-SEP-2024
0000950170-24-110273	/s/ David L. Klatsky, Attorney-in-fact	30-SEP-2024
0001415889-24-024085	/s/ Michael Korenko	30-SEP-2024
0001510281-24-000498	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001510281-24-000498	Boaz Weinstein	30-SEP-2024
0001562180-24-006983	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Smith, Cynthia F.	30-SEP-2024
0001562180-24-006982	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Wilson, Alan D.	30-SEP-2024
0001562180-24-006981	Kathryn L. Reilly, Assistant Corporate Secretary, POA for MacLellan, Robert F.	30-SEP-2024
0001562180-24-006980	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Stevens, Robert J.	30-SEP-2024
0001562180-24-006979	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Dublon, Dina	30-SEP-2024
0001562180-24-006978	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Wijnberg, Sandra S.	30-SEP-2024
0001225208-24-008867	John McCally, Managing Director and Assistant Secretary	30-SEP-2024
0001062993-24-017053	William K. Fleming	30-SEP-2024
0001510281-24-000497	Boaz Weinstein	30-SEP-2024
0001510281-24-000497	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001562180-24-006977	Kathryn L. Reilly, Assistant Corporate Secretary, POA for Donnelly, William P,	30-SEP-2024
0001437749-24-030232	/s/ Jay Kesslen, attorney-in-fact	30-SEP-2024
0001510281-24-000496	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001510281-24-000496	Boaz Weinstein	30-SEP-2024
0001510281-24-000495	Boaz Weinstein	30-SEP-2024
0001510281-24-000495	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001510281-24-000494	Boaz Weinstein	30-SEP-2024
0001510281-24-000494	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001510281-24-000493	Boaz Weinstein	30-SEP-2024
0001510281-24-000493	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001437749-24-030229	/s/ Michael A. Loh	30-SEP-2024
0001510281-24-000492	Boaz Weinstein	30-SEP-2024
0001510281-24-000492	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001510281-24-000491	Boaz Weinstein	30-SEP-2024
0001510281-24-000491	Saba Capital Management, L.P. By: Zachary Gindes	30-SEP-2024
0001161697-24-000399	/s/ Thomas Adams- Attorney-in-Fact	20-SEP-2024
0001161697-24-000397	/s/ Thomas Adams- Attorney-in-Fact	20-SEP-2024
0001161697-24-000395	/s/ Thomas Adams- Attorney-in-Fact	20-SEP-2024
0001161697-24-000393	/s/ Thomas Adams	20-SEP-2024
0001437749-24-030228	/s/ Jay Kesslen, attorney-in-fact	30-SEP-2024
0001437749-24-030227	/s/ T. Ronan Kennedy	30-SEP-2024
0000950170-24-110213	/s/Patrick J. Kennedy, as attorney-in-fact for B. Andrew Rose	30-SEP-2024
0001415889-24-024081	/s/ Steven J. Lykken, by Power of Attorney	30-SEP-2024
0001765814-24-000030	/s/ Ashley C. Durbin, Attorney-in-Fact	30-SEP-2024
0000029644-24-000113	/s/ Amy C. Becker, Attorney-in-fact for Scott Robinson	30-SEP-2024
0001765814-24-000029	/s/ Ashley C. Durbin, Attorney-in-Fact	30-SEP-2024
0001765814-24-000028	/s/ Ashley C. Durbin, Attorney-in-Fact	30-SEP-2024
0001765814-24-000027	/s/ Ashley C. Durbin, Attorney-in-Fact	30-SEP-2024
0000950170-24-110188	/s/ Patrick J. Kennedy, as attorney-in-fact for Kerrii B. Anderson	30-SEP-2024
0001435109-24-000381	/s/Benjamin St. Angelo, Attorney-in-Fact for Jeffrey Deitrich	30-SEP-2024
0001398889-24-000193	/s/ David C. House, Attorney-in-Fact for Benjamin G.S. Fowke III	30-SEP-2024
0001385613-24-000107	/s/ Sherry Diaz, as attorney in fact	30-SEP-2024
0001332596-24-000006	Joseph Patrick Daly	30-SEP-2024
0000075288-24-000065	/s/ Suraj A. Palakshappa, Attorney-in-Fact	30-SEP-2024
0001786842-24-000067	/s/ Courtney Kamlet, as attorney-in-fact	30-SEP-2024
0001062993-24-017049	Brandon N. Egren, Attorney-in-fact for Vandana Venkatesh	30-SEP-2024
0001062993-24-017048	Brandon N. Egren, Attorney-in-fact for Mary-Lee Stillwell	30-SEP-2024
0001062993-24-017047	Brandon N. Egren, Attorney-in-fact for Anthony T. Skiadas	30-SEP-2024
0001062993-24-017046	Brandon N. Egren, Attorney-in-fact for Sowmyanarayan Sampath	30-SEP-2024
0001062993-24-017045	Brandon N. Egren, Attorney-in-fact for Joseph J. Russo	30-SEP-2024
0001062993-24-017044	Brandon N. Egren, Attorney-in-fact for Kyle Malady	30-SEP-2024
0001062993-24-017043	Brandon N. Egren, Attorney-in-fact for Samantha Hammock	30-SEP-2024
0001062993-24-017042	Brandon N. Egren, Attorney-in-fact for Hans Erik Vestberg	30-SEP-2024
0001493152-24-038657	/s/ Snehal Patel	30-SEP-2024
0001104659-24-103842	/s/ Avtar Dhaliwal	27-SEP-2024
0001104659-24-103839	/s/ Avtar Dhaliwal	27-SEP-2024
0000950170-24-110152	/s/ Eric Bell, Attorney-in-Fact	27-SEP-2024
0001628280-24-041527	/s/ Kirsten O'Donnell, Attorney-in-Fact	27-SEP-2024
0001628280-24-041526	/s/ Kirsten O'Donnell, Attorney-in-Fact	27-SEP-2024
0001628280-24-041525	/s/ Kirsten O'Donnell, Attorney-in-Fact	28-SEP-2024
0000950170-24-110150	/s/ Eric Bell, Attorney-in-Fact	27-SEP-2024
0001628280-24-041521	Lisa Lenstrohm, Attorney-in-Fact	27-SEP-2024
0001321655-24-000182	/s/ Scott S. Hsu, under power of attorney	27-SEP-2024
0001877255-24-000031	/s/ Paul B. Prager	27-SEP-2024
0000950170-24-110147	/s/ Yekaterina Chudnovsky	27-SEP-2024
0000950170-24-110147	/s/ Yekaterina Chudnovsky, Manager GKCC, LLC	27-SEP-2024
0000950170-24-110146	/s/ Matthew Paque, attorney-in-fact	27-SEP-2024
0000950170-24-110145	/s/ Matthew Paque, attorney-in-fact	27-SEP-2024
0001818874-24-000220	/s/ Deanna M. Smith, Attorney-in-Fact	27-SEP-2024
0001562180-24-006976	/s/ Eileen Bagarella, Attorney-in-fact for Scott Bluestein	27-SEP-2024
0001671933-24-000105	/s/ Kelli Faerber, Attorney-in-Fact for Jeffrey Terry Green	27-SEP-2024
0001628280-24-041518	/s/ Tan Kwang Hooi, by Kristine Murphy as attorney-in-fact	27-SEP-2024
0001628280-24-041516	/s/ Michael P. Hartung, by Kristine Murphy as attorney-in-fact	27-SEP-2024
0001104659-24-103814	/s/ Faisal Hasan, attorney-in-fact	27-SEP-2024
0001645873-24-000149	/s/ John Raney, by Power of Attorney for Thomas H. Nolan, Jr.	27-SEP-2024
0001140361-24-042246	ATAI Life Sciences N.V., By: /s/ Anne Johnson, Chief Financial Officer	27-SEP-2024
0001140361-24-042246	ATAI Life Sciences AG, By: /s/ Anne Johnson, Chief Financial Officer	27-SEP-2024
0000950170-24-110141	/s/ Kyle Moran	27-SEP-2024
0001645873-24-000148	/s/ John Raney, by Power of Attorney for Kimberly J. Smith	27-SEP-2024
0001645873-24-000147	/s/ John Raney, by Power of Attorney for Aaron Scott Halfacre	27-SEP-2024
0001437749-24-030215	/s/ Robert Frederick Thomas	27-SEP-2024
0001415889-24-024079	/s/ Jason A. Keyes	27-SEP-2024
0001415889-24-024078	/s/ James Pennington, Attorney-in-Fact	27-SEP-2024
0001415889-24-024076	/s/ James Pennington, Attorney-in-Fact	27-SEP-2024
0001415889-24-024074	/s/ James Pennington, Attorney-in-Fact	27-SEP-2024
0001140361-24-042241	/s/ Adam M. Kleinman	27-SEP-2024
0001140361-24-042239	/s/ Adam M. Kleinman, attorney-in-fact	27-SEP-2024
0001104659-24-103806	/s/ Richard Paolone	27-SEP-2024
0001104659-24-103805	/s/ Katharyn Field	27-SEP-2024
0001104659-24-103804	/s/ Richard Paolone	27-SEP-2024
0001104659-24-103803	/s/ Katharyn Field	27-SEP-2024
0001437749-24-030214	/s/ Lisa Klein Wager by Power of Attorney	27-SEP-2024
0000950170-24-110137	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110136	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110135	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110134	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110133	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110132	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110131	/s/ Gabrielle Feuer as attorney-in-fact	27-SEP-2024
0000950170-24-110123	/s/ Warren E. Buffett, on behalf of himself and each other reporting person hereunder	27-SEP-2024
0000950170-24-110122	/s/ Karen Hager on behalf of Erik Bissonnette (1)	27-SEP-2024
0001759631-24-000167	/s/ Greg Standley	27-SEP-2024
0001759631-24-000165	/s/ Jose Miguel Oxholm	27-SEP-2024
0000107140-24-000210	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0000950170-24-110117	/s/ Karen Hager on behalf of Victor Woolridge (1)	27-SEP-2024
0000107140-24-000208	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0000277509-24-000042	Diane I. Bonina, attorney-in-fact for Katrina L. Helmkamp	27-SEP-2024
0000107140-24-000206	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0000107140-24-000204	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0000107140-24-000201	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0001493152-24-038629	/s/ David B. Rost Attorney-in-fact for Maria S. Rutledge	27-SEP-2024
0001628280-24-041514	/s/ Louis B. Lambert, Attorney-in-Fact	27-SEP-2024
0001415889-24-024061	/s/ Melanie Vinson, Attorney-in-Fact	27-SEP-2024
0000107140-24-000199	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0001493152-24-038627	/s/ Todd Peterson	27-SEP-2024
0001127602-24-024554	/s/ Derek W. Stark, attorney-in-fact for Mr. Perotti	27-SEP-2024
0000107140-24-000197	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0001158172-24-000103	/s/ Ashley Wright, Attorney-in-Fact	27-SEP-2024
0001124796-24-000118	/s/ Julie Dimmick, as attorney-in-fact	27-SEP-2024
0000950170-24-110110	/s/ Ernest C. Garcia II	27-SEP-2024
0000950170-24-110110	/s/ Ernest C. Garcia II, ECG II SPE, LLC	27-SEP-2024
0001213900-24-082824	/s/ Chunni Ren	27-SEP-2024
0001213900-24-082823	/s/ Greg Foley	27-SEP-2024
0001213900-24-082822	/s/ Haitao Cui	27-SEP-2024
0000107140-24-000195	/s/ Deirdre P. Silver, Attorney-In-Fact	27-SEP-2024
0001213900-24-082821	/s/ James Liao	27-SEP-2024
0001213900-24-082819	/s/ Jeff Feng Jiang	27-SEP-2024
0001213900-24-082816	/s/ Yiqing Miao	27-SEP-2024
0001266824-24-000092	By: /s/ Sandra Garcia Attorney-in-Fact For: David Goeckeler	27-SEP-2024
0001415889-24-024060	/s/ Winnie Ling	27-SEP-2024
0000950170-24-110108	/s/ Michele Nelson, as Attorney-in-Fact	27-SEP-2024
0000950170-24-110107	/s/ Valentina Margulis, as Attorney-in-Fact for Ruth M. Porat	27-SEP-2024
0000950170-24-110104	/s/ Celia Perez, as attorney in fact	27-SEP-2024
0001213900-24-082813	/s/ Alexander M. Donaldson, by power of attorney	27-SEP-2024
0001213900-24-082812	/s/ Alexander M. Donaldson, by power of attorney	27-SEP-2024
0000897069-24-001899	Philip N. Garfinkle by John J. Wolfel, as Attorney-in-Fact	27-SEP-2024
0000950170-24-110098	Phillip Frost, M.D., Individually and as Trustee	27-SEP-2024
0001225208-24-008865	/s/ J. Scott Murphy	27-SEP-2024
0000950170-24-110093	Phillip Frost, M.D., Individually and as Trustee	27-SEP-2024
0001013237-24-000127	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for James J.McGonigle	27-SEP-2024
0001593968-24-001226	/s/Rob Ziems, Attorney in Fact	27-SEP-2024
0001593968-24-001225	/s/Rob Ziems, Attorney in Fact	27-SEP-2024
0001013237-24-000125	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for Malcolm Frank	27-SEP-2024
0000950157-24-001330	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0000950157-24-001329	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001013237-24-000123	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for Laurie Siegel	27-SEP-2024
0000832988-24-000211	J. Matthew Shady, Attorney in Fact	27-SEP-2024
0000950157-24-001328	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001437749-24-030207	/s/ Robert E. Cauley	27-SEP-2024
0001062993-24-017031	Ki Hoon Kim as Attorney-in-Fact for Antonio F. Neri	27-SEP-2024
0001013237-24-000121	/s/ JEFFREY GERSHOWITZ, Attorney in Fact for Christopher R. Ellis	27-SEP-2024
0001437749-24-030205	/s/ G. Hunter Haas, IV	27-SEP-2024
0001553350-24-000121	/s/ Clarence E. Smith	27-SEP-2024
0000950157-24-001327	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001726978-24-000088	/s/ John O'Connor, as Attorney-in-Fact for Patrick Ryan Langston	27-SEP-2024
0001628280-24-041491	Ralph Bartel, Authorized Signatory	27-SEP-2024
0001628280-24-041491	Ralph Bartel, Authorized Signatory.	27-SEP-2024
0001628280-24-041491	Ralph Bartel	27-SEP-2024
0001654954-24-012408	/s/ Roger L. Smith Roger L. Smith pursuant to Power of Attorney	27-SEP-2024
0001654954-24-012407	/s/ Roger L. Smith Roger L. Smith pursuant to Power of Attorney	27-SEP-2024
0000950157-24-001326	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0000950170-24-110081	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950157-24-001325	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001733998-24-000113	Shawn M. Filippi, Attorney-in-Fact	27-SEP-2024
0001127602-24-024551	/s/ P. Diana Chiu, attorney-in-fact for Mr. Grau	27-SEP-2024
0000950157-24-001324	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001415889-24-024059	/s/ Ivan A. Colao, Attorney-in-Fact for Rainey E. Lancaster	27-SEP-2024
0001415889-24-024059	/s/ Ivan A. Colao, Attorney-in-Fact for James H. Dahl	27-SEP-2024
0001539497-24-002050	/s/ Carl C. Icahn	27-SEP-2024
0001493152-24-038576	/s/ Harry Simeonidis	27-SEP-2024
0001493152-24-038573	/s/ Spiro Sakiris	27-SEP-2024
0001104659-24-103762	/s/ Michael J. Sorrow, Attorney-in-Fact for Henry Samueli	27-SEP-2024
0000950170-24-110076	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110075	/s/ Jonathan Kuai, as attorney-in-fact	26-SEP-2024
0000950170-24-110074	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110073	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110072	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110071	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110070	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110069	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950170-24-110068	/s/ Jonathan Kuai, attorney-in-fact	26-SEP-2024
0000950157-24-001323	/s/ James C. Pickel, Jr., Attorney-in-Fact	27-SEP-2024
0000950157-24-001322	/s/ James C. Pickel, Jr., Attorney-in-Fact	27-SEP-2024
0000950157-24-001321	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0000950157-24-001320	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0000950103-24-014121	/s/ Christian Ameri, as Attorney-in-Fact for Maxwell Simkoff, Trustee	27-SEP-2024
0000950103-24-014121	/s/ Christian Ameri, as Attorney-in-Fact for Maxwell Simkoff	27-SEP-2024
0001628280-24-041488	/s/ Todd Wheeler, attorney-in-fact	27-SEP-2024
0001127602-24-024550	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000950157-24-001319	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0000950103-24-014120	/s/ Christian Ameri, as Attorney-in-Fact for Lawrence Henry Summers	27-SEP-2024
0001127602-24-024549	By Elizabeth McCright, P.O.A.	27-SEP-2024
0001628280-24-041487	/s/ Stephen C. Petrovich	27-SEP-2024
0000950157-24-001318	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001127602-24-024548	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000950157-24-001317	/s/ Paul W. Cobb, Jr. Attorney-in-fact	27-SEP-2024
0001415889-24-024057	/s/ John C. Grothaus, Attorney-in-fact	27-SEP-2024
0000950157-24-001316	/s/ Paul W. Cobb, Jr.  Attorney-in-fact	27-SEP-2024
0001628280-24-041484	/s/ Stephen C. Petrovich, Attorney-in-Fact	27-SEP-2024
0001415889-24-024055	/s/ John C. Grothaus, Attorney-in-fact	27-SEP-2024
0001127602-24-024547	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000950157-24-001315	/s/ James C. Pickel, Jr., Authorized Signatory for Amentum Joint Venture GP LLC	27-SEP-2024
0000950157-24-001315	/s/ Eric Schondorf, Authorized Signatory for Amentum Joint Venture GP LLC	27-SEP-2024
0000950157-24-001315	/s/ James C. Pickel, Jr., Authorized Signatory for Amentum Joint Venture GP LLC, the general partner of Amentum Joint Venture LP	27-SEP-2024
0000950157-24-001315	/s/ Eric Schondorf, Authorized Signatory for Amentum Joint Venture GP LLC, the general partner of Amentum Joint Venture LP	27-SEP-2024
0001127602-24-024546	By Elizabeth McCright, P.O.A.	27-SEP-2024
0002030397-24-000003	/s/ Stephen C. Petrovich, Attorney-in-Fact	27-SEP-2024
0001415889-24-024053	/s/ John C. Grothaus, Attorney-in-fact	27-SEP-2024
0000950103-24-014116	/s/ Christian Ameri, as Attorney-in-Fact for Maxine Williams	27-SEP-2024
0002030371-24-000004	/s/ Stephen C. Petrovich, Attorney-in-Fact	27-SEP-2024
0001127602-24-024545	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000950103-24-014114	/s/ Christian Ameri, as Attorney-in-Fact for Serena Wolfe	27-SEP-2024
0001127602-24-024544	By Elizabeth McCright, P.O.A.	27-SEP-2024
0001493152-24-038557	/s/ Amber Dillard	27-SEP-2024
0001127602-24-024543	/s/ Sarah Dale, Attorney-in-Fact for Maynard Webb	27-SEP-2024
0001127602-24-024542	By Elizabeth McCright, P.O.A.	27-SEP-2024
0001915593-24-000008	RAD Investments LLC /s/ Ethan Danial By: Ethan Danial Its: Member, Manager	27-SEP-2024
0001915593-24-000008	/s/ Ethan Danial	27-SEP-2024
0001765814-24-000026	/s/ Ashley C. Durbin, Attorney-in-Fact	27-SEP-2024
0001062993-24-017024	/s/ Ted Papapostolou	27-SEP-2024
0001127602-24-024540	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000314808-24-000144	/s/ Andrew Campbell, by power-of-attorney	27-SEP-2024
0001499832-24-000122	/s/**Allison Zolot as Attorney-in-Fact for Erik Hellum	27-SEP-2024
0001127602-24-024539	By Elizabeth McCright, P.O.A.	27-SEP-2024
0001062993-24-017022	Peter W. Hennessey by Power of Attorney	27-SEP-2024
0000950103-24-014110	/s/ Christian Ameri, as Attorney-in-Fact for Michael Alan Smith	27-SEP-2024
0000950170-24-110048	/s/ Kathleen McCabe as attorney-in-fact for Braden Parker	27-SEP-2024
0001730168-24-000107	/s/ Noelle Matteson, Attorney-in-Fact for Gayla J. Delly	27-SEP-2024
0000950103-24-014108	/s/ Christian Ameri, as Attorney-in-Fact for Matthew E. Zames	27-SEP-2024
0001062993-24-017021	Peter W. Hennessey by Power of Attorney	27-SEP-2024
0001127602-24-024538	By Elizabeth McCright, P.O.A.	27-SEP-2024
0000950170-24-110045	/s/ Kathleen McCabe as attorney-in-fact for Braden Parker	27-SEP-2024
0001104659-24-103741	Ares Management LLC, By: /s/ Anton Feingold, Authorized Signatory	27-SEP-2024
0001104659-24-103741	ASOF Holdings I, L.P., By: ASOF Investment Management LLC, its manager, By: /s/ Evan Hoole, Authorized Signatory	27-SEP-2024
0001104659-24-103741	ASOF Investment Management LLC, By: /s/ Evan Hoole, Authorized Signatory	27-SEP-2024
0001104659-24-103741	Ares Capital Management LLC, By: /s/ Joshua Bloomstein, Authorized Signatory	27-SEP-2024
